Country|Visa|Vaccinations|Temperatures|City 
Norway|Visa not required|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|24.3,24.8,31.6,40.1,51.4,59.4,61.5,59.4,51.4,43.3,33.3,26.4,42.3|Oslo 
Oman|58,598|Measles, Routine vaccines, Hepatitis A, Typhoid, Malaria, Hepatitis B, Rabies, Yellow Fever|70,72,77,86,93,95,93,90,88,86,77,72,82|Muscat 
Pakistan|73,129|Measles, Routine vaccines, Polio, Hepatitis A, Typhoid, Hepatitis B, Japanese Encephalitis, Malaria, Rabies, Yellow Fever|64.6,68.4,76.1,82.9,86.9,88.5,86.5,84.0,84.0,82.2,75.0,67.1,78.8|Karachi 
Palau|7,546|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B|UNDEFINED|UNDEFINED 
Panama|338,590|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever, Malaria|82,82,82,82,82,81,81,81,81,81,81,81,82|Panama City 
Papua New Guinea|12,181|Measles, Routine vaccines, Polio, Hepatitis A, Typhoid, Hepatitis B, Japanese Encephalitis, Malaria, Rabies, Yellow Fever|81.3,81.1,80.8,80.6,80.4,79.0,78.3,79.0,79.7,81.5,81.7,82.0,80.4|Port Moresby 
Paraguay|19,479|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever, Malaria|81.5,80.4,78.6,73.0,67.6,63.7,64.2,65.5,68.9,73.8,76.8,79.7,72.9|Asunción 
Peru|598,685|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Malaria, Rabies, Yellow Fever|71.8,72.9,72.0,69.1,65.8,63.5,62.1,61.2,61.5,63.1,65.7,69.3,66.6|Lima 
Philippines|957,813|Measles, Polio, Routine vaccines, Hepatitis A, Typhoid, Cholera, Hepatitis B, Japanese Encephalitis, Malaria, Rabies, Yellow Fever|80.1,81.3,83.7,86.2,86.0,84.7,83.3,82.9,83.1,83.1,82.4,80.6,83.1|Manila 
Poland|474,100|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|28.8,30.9,37.0,47.7,57.6,62.6,66.6,64.9,56.3,47.3,37.9,30.7,47.3|Warsaw 
Portugal|Visa not required|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|52.9,54.9,58.8,60.6,64.4,70.2,73.6,74.3,71.8,65.8,59.0,54.3,63.5|Lisbon 
Qatar|101,144|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|UNDEFINED|UNDEFINED 
Romania|175,667|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|29.7,32.7,41.7,52.2,62.2,69.1,72.5,71.6,62.4,51.8,40.5,32.4,51.4|Bucharest 
Russia|293,011|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Japanese Encephalitis, Rabies|20.3,19.9,30.2,44.1,55.8,62.6,66.6,62.6,52.3,42.1,29.8,22.6,42.4|Moscow 
Rwanda|eVisa / Visa on arrival|Measles, Routine vaccines, Hepatitis A, Malaria, Typhoid, Hepatitis B, Rabies, Yellow Fever|UNDEFINED|UNDEFINED 
Saint Kitts and Nevis|Visa not required|N/A|UNDEFINED|UNDEFINED 
Saint Lucia|152,738|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|UNDEFINED|UNDEFINED 
Saint Vincent and the Grenadines|22,324|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|UNDEFINED|UNDEFINED 
Samoa|10,177|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Yellow Fever|UNDEFINED|UNDEFINED 
San Marino|Visa not required|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|UNDEFINED|UNDEFINED 
São Tomé and Príncipe|154|N/A|UNDEFINED|UNDEFINED 
Saudi Arabia|eVisa / Visa on arrival|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Malaria, Meningitis (Meningococcal disease), Rabies, Yellow Fever|57,61,70,79,90,93,97,95,90,81,70,61,79|Riyadh 
Senegal|Visa not required|Measles, Routine vaccines, Hepatitis A, Malaria, Typhoid, Yellow Fever, Hepatitis B, Meningitis (Meningococcal disease), Rabies|70,70,70,70,72,77,81,81,81,81,79,73,75|Dakar 
Serbia|34,169|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|34.5,37.6,45.7,55.2,64.6,69.8,73.4,72.9,64.4,55.2,44.8,36.9,54.5|Belgrade 
Seychelles|6,038|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|UNDEFINED|UNDEFINED 
Sierra Leone|Visa on arrival|Measles, Routine vaccines, Yellow Fever, Hepatitis A, Malaria, Typhoid, Hepatitis B, Rabies|UNDEFINED|UNDEFINED 
Singapore|565,250|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|81,81,82,82,82,82,82,82,81,81,81,79,81|Singapore 
Slovakia|45,670|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|31.3,34.2,41.9,51.8,60.8,66.4,70.3,69.3,60.6,50.7,40.8,33.3,50.9|Bratislava 
Slovenia|95,863|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|32.5,35.4,43.7,51.4,60.4,66.4,70.3,69.1,60.8,52.2,42.1,34.2,51.6|Ljubljana 
Solomon Islands|1,623|Measles, Routine vaccines, Hepatitis A, Malaria, Typhoid, Hepatitis B, Yellow Fever|80.1,79.9,79.9,79.7,79.9,79.5,79.0,79.2,79.7,79.7,80.1,80.2,79.7|Honiara 
Somalia|Visa on arrival|Measles, Routine vaccines, Polio, Hepatitis A, Malaria, Typhoid, Cholera, Hepatitis B, Rabies, Yellow Fever|79.9,80.4,82.4,84.0,82.8,80.1,77.7,78.6,79.7,81.1,81.5,80.4,80.8|Mogadishu 
South Africa|297,226|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Malaria, Rabies, Yellow Fever|67.1,66.2,64.4,59.5,54.7,49.3,50.0,54.5,60.6,62.8,64.2,66.2,59.9|Johannesburg 
South Sudan|Visa required|Measles, Routine vaccines, Hepatitis A, Malaria, Typhoid, Yellow Fever, Cholera, Hepatitis B, Meningitis (Meningococcal disease), Rabies|82.9,85.1,85.8,84.6,82.2,80.4,78.6,79.0,80.2,81.5,81.7,81.9,82.0|Juba 
Spain|2,650,068|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|53.2,54.3,57.6,60.4,66.7,73.4,78.3,79.0,73.4,67.1,58.8,54.1,64.8|Barcelona 
Sri Lanka|57,479|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Japanese Encephalitis, Rabies, Yellow Fever|79.9,80.4,81.9,82.8,82.9,82.2,81.7,81.7,81.5,80.6,80.1,79.9,81.3|Colombo 
Sudan|Visa required|Measles, Routine vaccines, Hepatitis A, Malaria, Typhoid, Cholera, Hepatitis B, Meningitis (Meningococcal disease), Rabies, Yellow Fever|73.8,77.0,83.7,89.4,94.1,93.7,89.8,88.7,90.5,90.3,82.6,76.1,85.8|Khartoum 
Suriname|6,827|Measles, Routine vaccines, Hepatitis A, Typhoid, Yellow Fever, Hepatitis B, Malaria, Rabies|UNDEFINED|UNDEFINED 
Sweden|Visa not required|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|27.0,26.6,32.2,40.3,51.3,60.1,63.0,61.2,53.4,45.5,36.7,30.2,43.9|Stockholm 
Switzerland|Visa not required|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|32.5,34.3,41.5,47.8,55.9,61.5,65.5,64.4,57.4,49.8,39.9,34.5,48.7|Zürich 
Syria|Visa required|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|43.0,45.9,52.5,61.2,69.4,77.0,81.1,80.6,75.2,66.2,53.8,45.5,62.6|Damascus 
Tajikistan|eVisa|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Malaria|35.8,38.8,48.6,59.7,68.0,77.5,80.8,76.8,68.2,57.7,48.0,40.6,58.5|Dushanbe 
Tanzania|86,860|Measles, Routine vaccines, Hepatitis A, Typhoid, Cholera, Hepatitis B, Malaria, Rabies, Yellow Fever|81.3,81.9,81.3,79.7,77.9,75.6,74.3,74.7,75.7,77.5,79.3,81.1,78.4|Dar es Salaam 
Thailand|1,056,124|Measles, Routine vaccines, Hepatitis A, Typhoid, Cholera, Hepatitis B, Japanese Encephalitis, Malaria, Rabies, Yellow Fever|80.6,82.9,85.1,86.9,85.8,85.1,84.2,83.8,82.9,82.6,82.0,79.7,83.5|Bangkok 
Timor-Leste|2,557|N/A|UNDEFINED|UNDEFINED 
Togo|Visa on arrival|Measles, Routine vaccines, Yellow Fever, Hepatitis A, Malaria, Typhoid, Hepatitis B, Meningitis (Meningococcal disease), Rabies|80.8,82.8,83.3,82.8,81.3,79.2,77.5,77.4,78.4,79.9,81.1,80.8,80.4|Lomé 
Tonga|8,761|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B|UNDEFINED|UNDEFINED 
Trinidad and Tobago|161,539|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|UNDEFINED|UNDEFINED 
Tunisia|13,896|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|52.7,53.6,55.8,60.1,66.7,73.8,79.3,80.2,75.9,68.7,60.6,54.5,65.1|Tunis 
Turkey|329,257|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|42.3,42.3,44.6,52.0,60.3,68.7,73.2,73.6,67.6,60.1,52.7,46.4,57.0|Istanbul 
Turkmenistan|Visa required|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|38.3,41.9,50.7,63.3,73.9,84.2,88.3,85.3,74.5,61.7,50.4,41.2,62.8|Ashgabat 
Tuvalu|138|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B|UNDEFINED|UNDEFINED 
Uganda|57,959|Measles, Yellow Fever, Routine vaccines, Hepatitis A, Malaria, Typhoid, Cholera, Hepatitis B, Meningitis (Meningococcal disease), Rabies|72,72,72,70,68,68,68,68,68,70,70,70,68|Kampala 
Ukraine|153,778|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|25.7,26.6,35.2,48.7,59.9,65.3,68.9,67.5,57.6,47.1,35.4,27.9,47.1|Kiev 
United Arab Emirates|633,000|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|65.7,66.7,72.1,79.0,85.8,90.0,93.9,93.9,89.8,83.7,75.7,69.1,80.4|Dubai 
United Kingdom|3,308,000|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|39.7,40.1,44.4,47.7,53.8,59.2,63.1,62.6,57.7,51.6,45.0,40.5,50.5|London 
Uruguay|Visa not required|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|73.4,72.5,69.1,63.0,57.2,52.0,51.6,53.1,56.1,60.8,65.5,70.3,62.1|Montevideo 
Uzbekistan|1,200|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|35.4,39.0,48.9,59.9,68.9,78.4,82.0,79.2,69.1,57.0,47.3,38.3,58.6|Tashkent 
Vanuatu|3,016|Measles, Routine vaccines, Hepatitis A, Malaria, Typhoid, Hepatitis B|79.5,79.7,79.3,77.5,75.4,73.4,71.8,71.6,72.9,74.1,76.3,78.3,75.7|Port Vila 
Vatican City|Visa not required|N/A|UNDEFINED|UNDEFINED 
Venezuela|70,457|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Malaria, Rabies, Yellow Fever|68.4,69.4,71.1,72.9,73.8,72.7,72.0,72.1,72.9,72.3,71.6,69.3,71.6|Caracas 
Vietnam|614,117|Measles, Routine vaccines, Hepatitis A, Typhoid, Japanese Encephalitis, Hepatitis B, Malaria, Rabies|61.5,63.0,68.0,75.0,81.3,84.0,84.6,83.5,81.5,76.8,70.7,64.8,74.5|Hanoi 
Yemen|Visa required|Measles, Routine vaccines, Hepatitis A, Typhoid, Cholera, Hepatitis B, Malaria, Rabies|78.3,78.8,81.0,84.0,87.8,90.9,90.9,88.7,88.9,84.0,80.8,78.8,84.4|Aden 
Zambia|38,496|Measles, Routine vaccines, Polio, Hepatitis A, Malaria, Typhoid, Cholera, Hepatitis B, Rabies, Yellow Fever|70.7,70.7,70.0,67.8,63.3,59.4,58.8,63.1,70.3,74.3,74.1,71.1,67.8|Lusaka 
Zimbabwe|66,577|Measles, Routine vaccines, Hepatitis A, Malaria, Typhoid, Cholera, Hepatitis B, Rabies, Yellow Fever|69.8,69.3,68.5,65.8,61.0,56.7,56.1,59.9,65.5,69.4,70.2,69.6,65.1|Harare 
Eritrea outside Asmara|Travel permit required|N/A|UNDEFINED|UNDEFINED 
Ascension Island|eVisa|N/A|UNDEFINED|UNDEFINED 
Saint Helena|Visitor's Pass required|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|UNDEFINED|UNDEFINED 
Tristan da Cunha|Permission required|N/A|UNDEFINED|UNDEFINED 
Mayotte|Visa not required|Measles, Routine vaccines, Hepatitis A, Typhoid, Malaria, Hepatitis B, Rabies, Yellow Fever|UNDEFINED|UNDEFINED 
Sahrawi Arab Democratic Republic|Undefined|N/A|UNDEFINED|UNDEFINED 
Somaliland|Visa on arrival|N/A|UNDEFINED|UNDEFINED 
Réunion|Visa not required|N/A|UNDEFINED|UNDEFINED 
Sudan outside Khartoum|Travel permit required|N/A|UNDEFINED|UNDEFINED 
Darfur|Travel permit required|N/A|UNDEFINED|UNDEFINED 
British Indian Ocean Territory|Special permit required|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B|UNDEFINED|UNDEFINED 
Hainan|Visa required|N/A|UNDEFINED|UNDEFINED 
Hong Kong|1,215,629|N/A|61.3,62.2,66.4,72.7,78.6,82.2,83.8,83.5,81.9,77.9,71.2,64.2,73.9|Hong Kong 
India PAP/RAP|PAP/RAP required|N/A|UNDEFINED|UNDEFINED 
Iraqi Kurdistan|Visa on arrival|N/A|UNDEFINED|UNDEFINED 
Baikonur & Priozersk|Special permission required|N/A|UNDEFINED|UNDEFINED 
Kish Island|Visa not required|N/A|UNDEFINED|UNDEFINED 
Macau|186,378|N/A|UNDEFINED|UNDEFINED 
Sabah and Sarawak|Visa not required|N/A|UNDEFINED|UNDEFINED 
Maldives outside Malé|Permission required|N/A|UNDEFINED|UNDEFINED 
Mecca and Medina|Special access required|N/A|UNDEFINED|UNDEFINED 
North Sentinel Island|Restricted zone|N/A|UNDEFINED|UNDEFINED 
Palestine|Visa not required|N/A|UNDEFINED|UNDEFINED 
Taiwan|577,628|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Japanese Encephalitis, Rabies|61.0,61.7,65.3,71.4,77.4,81.9,85.3,84.6,81.3,76.1,70.7,64.2,73.4|Taipei 
Gorno-Badakhshan Autonomous Province|OIVR permit required|N/A|UNDEFINED|UNDEFINED 
Tibet Autonomous Region|TTP required|N/A|UNDEFINED|UNDEFINED 
Closed cities of Turkmenistan|Special permit required|N/A|UNDEFINED|UNDEFINED 
Korean Demilitarized Zone|Restricted zone|N/A|UNDEFINED|UNDEFINED 
UNDOF Zone and Ghajar|Restricted zone|N/A|UNDEFINED|UNDEFINED 
Phú Quốc|Visa not required|N/A|UNDEFINED|UNDEFINED 
Yemen outside Sana’a or Aden|Special permission required|N/A|UNDEFINED|UNDEFINED 
Anguilla|44,983|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|UNDEFINED|UNDEFINED 
Aruba|576,793|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|80.1,80.2,81.0,82.2,83.3,83.7,83.5,84.4,84.6,83.7,82.6,81.0,82.6|Oranjestad 
Bermuda|551,976|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|64.9,64.4,64.8,67.3,71.6,77.0,81.0,81.7,79.9,75.9,70.9,67.1,72.1|Hamilton 
(Bonaire, St. Eustatius and Saba)|Visa not required|N/A|UNDEFINED|UNDEFINED 
British Virgin Islands|442,434|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|UNDEFINED|UNDEFINED 
Cayman Islands|340,955|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|78.4,79.0,79.9,81.7,83.3,84.6,85.3,85.5,84.7,83.3,81.5,79.2,82.2|George Town 
San Andrés and Leticia|Tourist Card on arrival|N/A|UNDEFINED|UNDEFINED 
Curaçao|Visa not required|N/A|79.9,80.1,81.0,82.0,83.1,83.5,83.3,84.0,84.4,83.5,82.4,81.0,82.4|Willemstad 
French West Indies|Visa not required|N/A|UNDEFINED|UNDEFINED 
Greenland|2,767|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|18.7,18.0,18,25.2,33.1,39.0,43.7,43.0,38.3,30.7,25.3,20.8,29.5|Nuuk 
Margarita Island|Visa required|N/A|UNDEFINED|UNDEFINED 
Montserrat|1,665|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|UNDEFINED|UNDEFINED 
Sint Maarten|236,379|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|UNDEFINED|UNDEFINED 
Turks and Caicos Islands|Visa not required|N/A|UNDEFINED|UNDEFINED 
Abkhazia|Visa required|N/A|UNDEFINED|UNDEFINED 
Mount Athos|Special permit required|N/A|UNDEFINED|UNDEFINED 
ATO zone|Special permission required|N/A|UNDEFINED|UNDEFINED 
Brest and Grodno|Visa not required|N/A|UNDEFINED|UNDEFINED 
Crimea|Visa required|N/A|UNDEFINED|UNDEFINED 
Donetsk People's Republic|Restricted area|N/A|UNDEFINED|UNDEFINED 
Turkish Republic of Northern Cyprus|Visa not required|N/A|UNDEFINED|UNDEFINED 
UN Buffer Zone in Cyprus|Access Permit required|N/A|UNDEFINED|UNDEFINED 
Faroe Islands|Visa not required|N/A|UNDEFINED|UNDEFINED 
Gibraltar|Visa not required|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|UNDEFINED|UNDEFINED 
Guernsey|Visa not required|N/A|UNDEFINED|UNDEFINED 
Isle of Man|Visa not required|N/A|UNDEFINED|UNDEFINED 
Jan Mayen|Permit required|N/A|UNDEFINED|UNDEFINED 
Jersey|Visa not required|N/A|UNDEFINED|UNDEFINED 
Kosovo|Visa not required|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|UNDEFINED|UNDEFINED 
Lugansk People's Republic|Restricted area|N/A|UNDEFINED|UNDEFINED 
Artsakh|Visa required|N/A|UNDEFINED|UNDEFINED 
Closed cities of Russia|Special authorization required|N/A|UNDEFINED|UNDEFINED 
South Ossetia|Visa not required|N/A|UNDEFINED|UNDEFINED 
Svalbard|Visa not required|N/A|UNDEFINED|UNDEFINED 
Transnistria|Visa not required|N/A|UNDEFINED|UNDEFINED 
American Samoa|17,560|Routine vaccines, Hepatitis A, Typhoid, Hepatitis B|UNDEFINED|UNDEFINED 
Ashmore and Cartier Islands|Special authorisation required|N/A|UNDEFINED|UNDEFINED 
Clipperton Island|Special permit required|N/A|UNDEFINED|UNDEFINED 
Cook Islands|8,372|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B|UNDEFINED|UNDEFINED 
Lau Province|Special permission required|N/A|UNDEFINED|UNDEFINED 
French Polynesia|51,095|Measles, Routine vaccines, Hepatitis A, Typhoid, Yellow Fever, Hepatitis B|UNDEFINED|UNDEFINED 
Guam|77,058|Routine vaccines, Hepatitis A, Typhoid, Hepatitis B|UNDEFINED|UNDEFINED 
Niue|239|Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Yellow Fever|UNDEFINED|UNDEFINED 
Northern Mariana Islands|8,528|Routine vaccines, Hepatitis A, Typhoid, Hepatitis B|UNDEFINED|UNDEFINED 
Pitcairn Islands|Visa not required|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Yellow Fever|UNDEFINED|UNDEFINED 
Tokelau|Entry permit required|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B|UNDEFINED|UNDEFINED 
United States Minor Outlying Islands|Special permits required|N/A|UNDEFINED|UNDEFINED 
Galápagos|Pre-registration required|N/A|UNDEFINED|UNDEFINED 
French Guiana|Visa not required|Measles, Routine vaccines, Yellow Fever, Hepatitis A, Typhoid, Hepatitis B, Malaria, Rabies|79.2,79.3,79.7,80.2,80.1,79.9,79.9,80.6,81.0,81.1,80.6,79.9,80.1|Cayenne 
Falkland Islands|Visa not required|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B|49.1,48.0,46.6,43.0,39.0,36.0,35.4,36.0,39.0,41.5,44.6,46.6,42.1|Stanley 
South Georgia and the South Sandwich Islands|Permit required|N/A|UNDEFINED|UNDEFINED 
Antarctica|14,893|UNDEFINED|UNDEFINED|UNDEFINED 
Congo|5,352|Measles, Routine vaccines, Yellow Fever, Hepatitis A, Malaria, Typhoid, Hepatitis B, Rabies|UNDEFINED|UNDEFINED 
Curacao|59,714|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|UNDEFINED|UNDEFINED 
Dutch Caribbean:
 Bonaire
 Saba
 Sint Eustatius|5,900
2,000
2,700
1,200|N/A|UNDEFINED|UNDEFINED 
Macedonia|11,495|N/A|32.2,36.7,45.7,53.8,63.1,70.7,74.8,74.8,65.8,55.6,43.7,35.1,54.3|Skopje 
Martinique|6,463|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|UNDEFINED|UNDEFINED 
New Caledonia|639|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Yellow Fever|UNDEFINED|UNDEFINED 
Swaziland|18,014|N/A|UNDEFINED|UNDEFINED 
Turks and Caicos|315,247|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies|UNDEFINED|UNDEFINED 
